EDI_concept_code,제품명_x,규격,대분류군코드,대분류군명,대분류코드,대분류코드명,중분류코드,중분류명,matchScore,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate
A0013001,CARBON SET (P.A. SET),,A,핵의학검사용 군,A0,폐스캔용 류,10001,폐스캔용류,0.265211761,45758186,Radioaerosol administration set,SNOMED,Device,S,0,2,Physical Object,462742007,20150131,20991231
B0543011,VICRYL RAPIDE,3/0,B,봉합용 군,B0,봉합사 류,20060,흡수성 합성사 (3/0-4/0),0.51933139563,45758977,Polyglactin suture,SNOMED,Device,S,0,2,Physical Object,463968001,20150131,20991231
B0033006,POLYPROPYLENE,3/0,B,봉합용 군,B0,봉합사 류,20046,POLYPROPYLENE (3/0-4/0),0.85180175304,4262269,Sterile polypropylene monofilament suture,SNOMED,Device,S,0,1,Physical Object,356769008,19700101,20991231
B0532005,POLYSORB,2,B,봉합용 군,B0,봉합사 류,20058,흡수성 합성사 (1-2),0.72842442989,45772825,Synthetic bioabsorbable suture,SNOMED,Device,S,12,1,Physical Object,705657004,20150131,20991231
B1804002,POWERED ECHELON STAPLER-FLEX,전규격,B,봉합용 군,B1,자동봉합기 류,21026,ARTICULATING ENDOSCOPIC STAPLER BODY(전동식형),0.38591724634,45764708,Endoscopic motorized cutting stapler,SNOMED,Device,S,1,3,Physical Object,701457004,20150131,20991231
B0752001,VICRYL PLUS ANTIBACTERIAL SUTURE,2/0 NON NEEDLE,B,봉합용 군,B0,봉합사 류,20076,"항균 흡수성 합성사 (1/0-2/0,NON NEEDLE)",0.69203668833,45758959,"Polyglactin suture, antimicrobial",SNOMED,Device,S,0,2,Physical Object,463944009,20150131,20991231
B3200003,PREMIUM SURGICLIP,S-9.0,B,봉합용 군,B2,내시경 & 관혈적 수술용 결찰재료 류,22013,관혈적수술용 결찰재료-AUTOMATIC CLIP(PRESS),0.59154975414,45758369,"Ligation clip, metallic",SNOMED,Device,S,0,2,Physical Object,463037002,20150131,20991231
B0754001,VICRYL PLUS ANTI BACTERIAL SUTURE,4/0 NON NEEDLE,B,봉합용 군,B0,봉합사 류,20077,"항균 흡수성 합성사 (3/0-4/0,NON NEEDLE)",0.66810971498,45758959,"Polyglactin suture, antimicrobial",SNOMED,Device,S,0,2,Physical Object,463944009,20150131,20991231
B3100002,VITA CLIP(MANUAL CLIP),전규격,B,봉합용 군,B2,내시경 & 관혈적 수술용 결찰재료 류,22003,관혈적수술용 결찰재료-MANUAL CLIP(PRESS),0.31683713198,45758369,"Ligation clip, metallic",SNOMED,Device,S,0,2,Physical Object,463037002,20150131,20991231
B3100002,VITA CLIP(MANUAL CLIP),전규격,B,봉합용 군,B2,내시경 & 관혈적 수술용 결찰재료 류,22005,내시경 및 관혈적 결찰재료-MANUAL CLIP(PRESS),0.31683713198,45758369,"Ligation clip, metallic",SNOMED,Device,S,0,2,Physical Object,463037002,20150131,20991231
B0008006,NYLON,8/0,B,봉합용 군,B0,봉합사 류,20031,NYLON (7/0-8/0),1,45758903,"Nylon suture, monofilament",SNOMED,Device,S,0,2,Physical Object,463862001,20150131,20991231
B0532101,PDS,2,B,봉합용 군,B0,봉합사 류,20058,흡수성 합성사 (1-2),0.71365147829,45758967,Polydioxanone suture,SNOMED,Device,S,0,2,Physical Object,463956005,20150131,20991231
B0931001,PDS II,1,B,봉합용 군,B0,봉합사 류,20079,루프형 봉합사(1-2),0.68945223093,45758967,Polydioxanone suture,SNOMED,Device,S,0,2,Physical Object,463956005,20150131,20991231
B0030001,PROLENE,1,B,봉합용 군,B0,봉합사 류,20044,POLYPROPYLENE (1-2),0.55328476429,4262269,Sterile polypropylene monofilament suture,SNOMED,Device,S,0,1,Physical Object,356769008,19700101,20991231
B0754101,VICRYL PLUS,4/0 NON NEEDLE,B,봉합용 군,B0,봉합사 류,20077,"항균 흡수성 합성사 (3/0-4/0,NON NEEDLE)",0.56186705828,45758959,"Polyglactin suture, antimicrobial",SNOMED,Device,S,0,2,Physical Object,463944009,20150131,20991231
B2121102,VESOLOCK CLIP,전규격,B,봉합용 군,B2,내시경 & 관혈적 수술용 결찰재료 류,22004,내시경 및 관혈적 결찰재료-MANUAL CLIP(LOCK),0.46338579059,45758132,"Ligation clip, non-metallic",SNOMED,Device,S,0,2,Physical Object,462671000,20150131,20991231
B2121002,VESOCCLUDE LIGATION SYSTEM,전규격,B,봉합용 군,B2,내시경 & 관혈적 수술용 결찰재료 류,22005,내시경 및 관혈적 결찰재료-MANUAL CLIP(PRESS),0.45441815257,45758369,"Ligation clip, metallic",SNOMED,Device,S,0,2,Physical Object,463037002,20150131,20991231
B0544004,SAFIL,4/0,B,봉합용 군,B0,봉합사 류,20060,흡수성 합성사 (3/0-4/0),0.35828244686,45758561,Polyglycolic acid suture,SNOMED,Device,S,0,2,Physical Object,463323001,20150131,20991231
