EDI_concept_code,제품명_x,규격,대분류군코드,대분류군명,대분류코드,대분류코드명,중분류코드,중분류명,matchScore,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate
A0013001,CARBON SET (P.A. SET),,A,핵의학검사용 군,A0,폐스캔용 류,10001,폐스캔용류,0.265211761,45758186,Radioaerosol administration set,SNOMED,Device,S,0,2,Physical Object,462742007,20150131,20991231
B0543011,VICRYL RAPIDE,3/0,B,봉합용 군,B0,봉합사 류,20060,흡수성 합성사 (3/0-4/0),0.519331396,45758977,Polyglactin suture,SNOMED,Device,S,0,2,Physical Object,463968001,20150131,20991231
B0033006,POLYPROPYLENE,3/0,B,봉합용 군,B0,봉합사 류,20046,POLYPROPYLENE (3/0-4/0),0.851801753,4262269,Sterile polypropylene monofilament suture,SNOMED,Device,S,0,1,Physical Object,356769008,19700101,20991231
B0532005,POLYSORB,2,B,봉합용 군,B0,봉합사 류,20058,흡수성 합성사 (1-2),0.72842443,45772825,Synthetic bioabsorbable suture,SNOMED,Device,S,12,1,Physical Object,705657004,20150131,20991231
B1804002,POWERED ECHELON STAPLER-FLEX,전규격,B,봉합용 군,B1,자동봉합기 류,21026,ARTICULATING ENDOSCOPIC STAPLER BODY(전동식형),0.385917246,45764708,Endoscopic motorized cutting stapler,SNOMED,Device,S,1,3,Physical Object,701457004,20150131,20991231
B0752001,VICRYL PLUS ANTIBACTERIAL SUTURE,2/0 NON NEEDLE,B,봉합용 군,B0,봉합사 류,20076,"항균 흡수성 합성사 (1/0-2/0,NON NEEDLE)",0.692036688,45758959,"Polyglactin suture, antimicrobial",SNOMED,Device,S,0,2,Physical Object,463944009,20150131,20991231
B3200003,PREMIUM SURGICLIP,S-9.0,B,봉합용 군,B2,내시경 & 관혈적 수술용 결찰재료 류,22013,관혈적수술용 결찰재료-AUTOMATIC CLIP(PRESS),0.591549754,45758369,"Ligation clip, metallic",SNOMED,Device,S,0,2,Physical Object,463037002,20150131,20991231
B0754001,VICRYL PLUS ANTI BACTERIAL SUTURE,4/0 NON NEEDLE,B,봉합용 군,B0,봉합사 류,20077,"항균 흡수성 합성사 (3/0-4/0,NON NEEDLE)",0.668109715,45758959,"Polyglactin suture, antimicrobial",SNOMED,Device,S,0,2,Physical Object,463944009,20150131,20991231
B3100002,VITA CLIP(MANUAL CLIP),전규격,B,봉합용 군,B2,내시경 & 관혈적 수술용 결찰재료 류,22003,관혈적수술용 결찰재료-MANUAL CLIP(PRESS),0.316837132,45758369,"Ligation clip, metallic",SNOMED,Device,S,0,2,Physical Object,463037002,20150131,20991231
B3100002,VITA CLIP(MANUAL CLIP),전규격,B,봉합용 군,B2,내시경 & 관혈적 수술용 결찰재료 류,22005,내시경 및 관혈적 결찰재료-MANUAL CLIP(PRESS),0.316837132,45758369,"Ligation clip, metallic",SNOMED,Device,S,0,2,Physical Object,463037002,20150131,20991231
B0008006,NYLON,8/0,B,봉합용 군,B0,봉합사 류,20031,NYLON (7/0-8/0),1,45758903,"Nylon suture, monofilament",SNOMED,Device,S,0,2,Physical Object,463862001,20150131,20991231
B0532101,PDS,2,B,봉합용 군,B0,봉합사 류,20058,흡수성 합성사 (1-2),0.713651478,45758967,Polydioxanone suture,SNOMED,Device,S,0,2,Physical Object,463956005,20150131,20991231
B0931001,PDS II,1,B,봉합용 군,B0,봉합사 류,20079,루프형 봉합사(1-2),0.689452231,45758967,Polydioxanone suture,SNOMED,Device,S,0,2,Physical Object,463956005,20150131,20991231
B0030001,PROLENE,1,B,봉합용 군,B0,봉합사 류,20044,POLYPROPYLENE (1-2),0.553284764,4262269,Sterile polypropylene monofilament suture,SNOMED,Device,S,0,1,Physical Object,356769008,19700101,20991231
B0754101,VICRYL PLUS,4/0 NON NEEDLE,B,봉합용 군,B0,봉합사 류,20077,"항균 흡수성 합성사 (3/0-4/0,NON NEEDLE)",0.561867058,45758959,"Polyglactin suture, antimicrobial",SNOMED,Device,S,0,2,Physical Object,463944009,20150131,20991231
B2121102,VESOLOCK CLIP,전규격,B,봉합용 군,B2,내시경 & 관혈적 수술용 결찰재료 류,22004,내시경 및 관혈적 결찰재료-MANUAL CLIP(LOCK),0.463385791,45758132,"Ligation clip, non-metallic",SNOMED,Device,S,0,2,Physical Object,462671000,20150131,20991231
B2121002,VESOCCLUDE LIGATION SYSTEM,전규격,B,봉합용 군,B2,내시경 & 관혈적 수술용 결찰재료 류,22005,내시경 및 관혈적 결찰재료-MANUAL CLIP(PRESS),0.454418153,45758369,"Ligation clip, metallic",SNOMED,Device,S,0,2,Physical Object,463037002,20150131,20991231
B0544004,SAFIL,4/0,B,봉합용 군,B0,봉합사 류,20060,흡수성 합성사 (3/0-4/0),0.358282447,45758561,Polyglycolic acid suture,SNOMED,Device,S,0,2,Physical Object,463323001,20150131,20991231
B0011002,SILK,1/0,B,봉합용 군,B0,봉합사 류,20020,SILK (1/0-2/0),0.600032449,45760330,"Silk suture, sterile",SNOMED,Device,S,0,2,Physical Object,465999003,20150131,20991231
B0532001,VICRYL,2,B,봉합용 군,B0,봉합사 류,20058,흡수성 합성사 (1-2),0.660735071,45758977,Polyglactin suture,SNOMED,Device,S,0,2,Physical Object,463968001,20150131,20991231
B0039511,PRONOVA,5/0 DOUBLE NEEDLE,B,봉합용 군,B0,봉합사 류,20052,"POLYPROPYLENE (5/0-6/0,DOUBLE NEEDLE)",0.313910782,4262269,Sterile polypropylene monofilament suture,SNOMED,Device,S,0,1,Physical Object,356769008,19700101,20991231
B1601002,PROXIMATE LINEAR CUTTING STAPLER,전규격,B,봉합용 군,B1,자동봉합기 류,21021,LINEAR CUTTING STAPLER BODY,0.716884017,45765043,"Open-surgery manual linear cutting stapler, single-use",SNOMED,Device,S,0,2,Physical Object,701871002,20150131,20991231
B1501002,PROXIMATE LINEAR STAPLER,전규격,B,봉합용 군,B1,자동봉합기 류,21022,LINEAR STAPLER BODY,0.537532926,45765046,"Open-surgery manual linear stapler, single-use",SNOMED,Device,S,0,1,Physical Object,701874005,20150131,20991231
B1501012,PROXIMATE TX30&60 LINEAR STAPLER,전규격,B,봉합용 군,B1,자동봉합기 류,21022,LINEAR STAPLER BODY,0.241509706,45765046,"Open-surgery manual linear stapler, single-use",SNOMED,Device,S,0,1,Physical Object,701874005,20150131,20991231
B0001001,SUTURE ETHILON (NYLON),1/0,B,봉합용 군,B0,봉합사 류,20028,NYLON (1/0-2/0),0.588814676,45758903,"Nylon suture, monofilament",SNOMED,Device,S,0,2,Physical Object,463862001,20150131,20991231
B0002004,DAFILON,2/0,B,봉합용 군,B0,봉합사 류,20028,NYLON (1/0-2/0),0.273794293,45758903,"Nylon suture, monofilament",SNOMED,Device,S,0,2,Physical Object,463862001,20150131,20991231
B0002005,MONOSOF,2/0,B,봉합용 군,B0,봉합사 류,20028,NYLON (1/0-2/0),0.326032043,45758903,"Nylon suture, monofilament",SNOMED,Device,S,0,2,Physical Object,463862001,20150131,20991231
B0003018,REXLON,3/0,B,봉합용 군,B0,봉합사 류,20029,NYLON (3/0-4/0),0.095596857,45758903,"Nylon suture, monofilament",SNOMED,Device,S,0,2,Physical Object,463862001,20150131,20991231
B0005002,SUTURE NYLON,5/0,B,봉합용 군,B0,봉합사 류,20030,NYLON (5/0-6/0),0.802985311,45758903,"Nylon suture, monofilament",SNOMED,Device,S,0,2,Physical Object,463862001,20150131,20991231
B0005003,SUTURE DERMALON,5/0,B,봉합용 군,B0,봉합사 류,20030,NYLON (5/0-6/0),0.705115736,45758903,"Nylon suture, monofilament",SNOMED,Device,S,0,2,Physical Object,463862001,20150131,20991231
