source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date
A1100,42364257,Korean EDI,"Medical care profound count 3-6, doctor 2· nursing 5 grade; 의료최고도 count 3-6, 의사2·간호5등급",4154551,SNOMED,1970-01-01,2099-12-31
A2148,42358862,Korean EDI,"Medical care severe ADL 17-20, doctor 4· nursing 8 grade; 의료고도 ADL 17-20, 의사4·간호8등급",4154551,SNOMED,1970-01-01,2099-12-31
A2231,42359390,Korean EDI,"Medical care severe ADL 9-16, doctor 3· nursing 1 grade; 의료고도 ADL 9-16, 의사3·간호1등급",4154551,SNOMED,1970-01-01,2099-12-31
A3353,42360143,Korean EDI,"Medical care moderate ADL 4-8, doctor 5· nursing 3 grade; 의료중도 ADL 4-8, 의사5·간호3등급",4154551,SNOMED,1970-01-01,2099-12-31
AB322,42364160,Korean EDI,"Inpatient Care; 병원, 치과병원, 한방병원 내 의·치과 2등급간호관리료적용5인실입원료",42537843,SNOMED,2018-01-31,2099-12-31
AB343,42365753,Korean EDI,"Inpatient Care; 병원, 치과병원, 한방병원 내 의·치과 3등급간호관리료적용4인실입원료",42537843,SNOMED,2018-01-31,2099-12-31
AB364,42358271,Korean EDI,"Inpatient Care; 병원, 한방병원 내 의·치과 4등급간호관리료적용 3인실 입원료",42537843,SNOMED,2018-01-31,2099-12-31
AC301,42364848,Korean EDI,Pediatric sedation management fee- Senior General Hospital; 소아 진정관리료-상급종합병원,4219502,SNOMED,1970-01-01,2099-12-31
AC612,42357821,Korean EDI,Sub-ICU Patient Care-High risk pregnancy intensive care unit; 고위험임산부 집중치료실 입원료-상급종합병원,4237498,SNOMED,1970-01-01,2099-12-31
AD100,42359809,Korean EDI,Aseptic Room Patient Care; 상급종합병원 무균치료실입원료-1인용,4077663,SNOMED,1970-01-01,2099-12-31
AG111,42359766,Korean EDI,Neonatal Care; 신생아실 입원료-질병이 없는 신생아-상급종합병원,4237490,SNOMED,1970-01-01,2099-12-31
AG113,42359753,Korean EDI,Neonatal Care; 신생아모유수유간호관리료-상급종합병원,4234170,SNOMED,2009-01-31,2099-12-31
AJ510,42366375,Korean EDI,"ICU Patient Care; 요양병원 의ㆍ치과-중환자실입원료, 간호1등급",46285817,SNOMED,2015-10-01,2099-12-31
AJ540,42361272,Korean EDI,"ICU Patient Care; 요양병원 의ㆍ치과-중환자실입원료, 간호4등급",46285817,SNOMED,2015-10-01,2099-12-31
AJ580,42366353,Korean EDI,"ICU Patient Care; 요양병원 의ㆍ치과-중환자실입원료, 간호8등급",46285817,SNOMED,2015-10-01,2099-12-31
AK100,42364330,Korean EDI,Isolation Room Patient Care; 격리실 입원료-일반 격리실 입원료-상급종합병원-1인용,4222885,SNOMED,1970-01-01,2099-12-31
AK202,42359025,Korean EDI,Isolation Room Patient Care; 격리실 입원료-일반 격리실 입원료-종합병원-2인용,4222885,SNOMED,1970-01-01,2099-12-31
AK211,42358994,Korean EDI,Isolation Room Patient Care; 격리실 입원료-음압 격리실 입원료-종합병원-다인용,4222885,SNOMED,1970-01-01,2099-12-31
AK501,42358966,Korean EDI,Isolation Room Patient Care; 격리실 입원료-2인용,4222885,SNOMED,1970-01-01,2099-12-31
AN200,42358803,Korean EDI,Home care basic visit fee [per visit]- Senior General hospital; 가정간호기본방문료[방문당]-상급종합병원,4295046,SNOMED,2018-01-31,2099-12-31
AN400,42358794,Korean EDI,"Home care basic visit fee [per visit]- Hospital, Dental hospital ·Korean Medicine hospital· Geriatric hospital; 가정간호기본방문료[방문당]-병원,치과·한방·요양병원",4295046,SNOMED,2018-01-31,2099-12-31
AN500,42358811,Korean EDI,"Home care basic visit fee [per visit]- Clinic, medicine in Public Health and Medical Care Center ; 가정간호기본방문료[방문당]-의원,보건의료원 내 의과",4295046,SNOMED,2018-01-31,2099-12-31
AQ600,42363006,Korean EDI,Lead-Shielded Room Patient Care; 상급종합병원 납차폐특수치료실입원료,4259696,SNOMED,2009-01-31,2099-12-31
AQ800,42358326,Korean EDI,"Lead-Shielded Room Patient Care; 병원,치과병원,한방병원 내 의·치과 납차폐특수치료실입원료",4259696,SNOMED,2009-01-31,2099-12-31
AU810,42359596,Korean EDI,Specialized hospital management Fee- outpatient management fee; 전문병원 관리료-외래관리료,42537845,SNOMED,2018-01-31,2099-12-31
AU903,42359622,Korean EDI,"Specialized hospital (hospital, Geriatric Hospital, Korean Medicine Hospital) medical quality evaluation grant- Hospital, Geriatric Hospital (exclude ophthalmology, otolaryngology)- 다 grade- inpatient; 전문병원(병원·요양병원·한방병원) 의료질지원금-병원·요양병원(안과·이비인후과 분야 제외)-다등급-입원",42537843,SNOMED,2018-01-31,2099-12-31
AU912,42359615,Korean EDI,"Specialized hospital (hospital, Geriatric Hospital, Korean Medicine Hospital) medical quality evaluation grant- Hospital, Geriatric Hospital (exclude ophthalmology, otolaryngology)- 나 grade- outpatient; 전문병원(병원·요양병원·한방병원) 의료질지원금-병원·요양병원(안과·이비인후과 분야 제외)-나등급-외래",42537845,SNOMED,2018-01-31,2099-12-31
AZ100,42358317,Korean EDI,"Cancer patient Education, consultation fee- chemotherapy- Senior general hospital; 암환자 교육·상담료-항암화학요법_상급종합병원",4301464,SNOMED,1970-01-01,2099-12-31
AZ101,42364322,Korean EDI,"Cancer patient Education, consultation fee- radiotherapy- Senior general hospital; 암환자 교육·상담료-방사선치료_상급종합병원",4257954,SNOMED,1970-01-01,2099-12-31
AZ102,42361459,Korean EDI,"Cancer patient Education, consultation fee- after surgery- Senior general hospital; 암환자 교육·상담료-수술 후_상급종합병원",4055248,SNOMED,1970-01-01,2099-12-31
AZ110,42356856,Korean EDI,"Heart disease Education, consultation fee- Senior general hospital; 심장질환 교육·상담료_상급종합병원",4181176,SNOMED,2008-01-31,2099-12-31
AZ120,42361841,Korean EDI,"Intestinal fistula/urinary fistula Education, consultation fee- Senior general hospital; 장루/요루 교육·상담료_상급종합병원",4261876,SNOMED,1970-01-01,2099-12-31
AZ130,42359483,Korean EDI,"Chronic renal failure(CRF) Education, consultation fee- patient without dialysis- Senior general hospital; 만성신부전 교육·상담료-투석이 필요 없는 환자_상급종합병원",4044940,SNOMED,1970-01-01,2099-12-31
AZ131,42359476,Korean EDI,"Chronic renal failure(CRF) Education, consultation fee- peritoneal dialysis- Senior general hospital; 만성신부전 교육·상담료-복막투석_상급종합병원",4280208,SNOMED,1970-01-01,2099-12-31
