"SOURCE_CODE","SOURCE_CONCEPT_ID","SOURCE_VOCABULARY_ID","SOURCE_CODE_DESCRIPTION","TARGET_CONCEPT_ID","TARGET_VOCABULARY_ID","VALID_START_DATE","VALID_END_DATE","INVALID_REASON"
NA,NA,"EDI","17-Hydroxypregnenolone [Mass/volume] in Serum or Plasma; NA",3001482,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","24 hour urine sample volume measurement; NA",4150339,"SNOMED",1970-01-01,2099-12-31,NA
NA,NA,"EDI","3-Hydroxydodecanoylcarnitine (C12-OH) [Moles/volume] in Serum or Plasma; NA",3003809,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","3-Hydroxylinoleoylcarnitine (C18:2-OH) [Moles/volume] in Serum or Plasma; NA",3036343,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","3-Hydroxyoleoylcarnitine (C18:1-OH) [Moles/volume] in Serum or Plasma; NA",3003209,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","3-Hydroxypalmitoleylcarnitine (C16:1-OH) [Moles/volume] in Serum or Plasma; NA",3001111,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","3-Hydroxystearoylcarnitine (C18-OH) [Moles/volume] in Serum or Plasma; NA",3033951,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","3-Hydroxytetradecanoylcarnitine (C14-OH) [Moles/volume] in Serum or Plasma; NA",3036864,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","3-Hydroxytetradecenoylcarnitine (C14:1-OH) [Moles/volume] in Serum or Plasma; NA",3018039,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","6-Monoacetylmorphine (6-MAM) [Mass/volume] in Urine by Confirmatory method; NA",3013474,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Acetylcarnitine (C2) [Moles/volume] in Serum or Plasma; NA",3018524,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Acetylcholine receptor blocking Ab/Acetylcholine Ab.total in Serum; NA",3032560,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Acetylcholine receptor blocking Ab; NA",3013393,"LOINC",1997-08-26,2099-12-31,NA
NA,NA,"EDI","Acetylcholine receptor ganglionic neuronal Ab [Moles/volume] in Serum; NA",3035283,"LOINC",2005-08-26,2099-12-31,NA
NA,NA,"EDI","Acetylcholine receptor modulation Ab/Acetylcholine Ab.total; NA",3014512,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Alpha linolenate (C18:3w3) [Moles/volume] in Serum or Plasma; NA",3031177,"LOINC",2003-12-18,2099-12-31,NA
NA,NA,"EDI","Alpha subunit free [Mass/volume] in Serum or Plasma; NA",3037808,"LOINC",2001-10-05,2099-12-31,NA
NA,NA,"EDI","Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma; NA",3009306,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Alpha-1-Fetoprotein [Units/volume] in Serum or Plasma; NA",3015916,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Alpha-1-fetoprotein measurement, serum; NA",4014768,"SNOMED",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Alpha-1-fetoprotein.tumor marker [Mass/volume] in Serum or Plasma; NA",3039783,"LOINC",2008-10-29,2099-12-31,NA
NA,NA,"EDI","Amphetamine [Mass/volume] in Urine; NA",3000571,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Amphetamines [Presence] in Urine; NA",3027944,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Androstenedione [Mass/volume] in Serum or Plasma; NA",3002278,"LOINC",1970-01-01,2099-12-31,NA
NA,NA,"EDI","Arachidate (C20:0) [Moles/volume] in Serum or Plasma; NA",3030602,"LOINC",2003-12-18,2099-12-31,NA
NA,NA,"EDI","Arachidonate (C20:4w6) [Moles/volume] in Serum or Plasma; NA",3031450,"LOINC",2003-12-18,2099-12-31,NA
