no,concept_code,concept_name,concept_synonym,domain_id,matchScore_a,targetConceptId_a,targetConceptName_a,targetVocabularyId_a,targetDomainId_a,targetStandardConcept_a,targetChildCount_a,targetParentCount_a,targetConceptClassId_a,targetConceptCode_a,targetValidStartDate_a,targetValidEndDate_a,matchScore_b,targetConceptId_b,targetConceptName_b,targetVocabularyId_b,targetDomainId_b,targetStandardConcept_b,targetChildCount_b,targetParentCount_b,targetConceptClassId_b,targetConceptCode_b,targetValidStartDate_b,targetValidEndDate_b,matchScore_fixed,targetConceptId_fixed,targetConceptName_fixed,targetVocabularyId_fixed,targetDomainId_fixed,targetStandardConcept_fixed,targetConceptClassId_fixed,targetConceptCode_fixed,targetValidStartDate_fixed,targetValidEndDate_fixed
1,A1100,"Medical care profound count 3-6, doctor 2· nursing 5 grade","의료최고도 count 3-6, 의사2·간호5등급",Procedure,0.225307003,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.286821425,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.225307003,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
2,A1101,"Medical care profound count 3-6, doctor 2· nursing 1 grade","의료최고도 count 3-6, 의사2·간호1등급",Procedure,0.226589292,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.289049715,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.226589292,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
3,A1102,"Medical care profound count 3-6, doctor 2· nursing 2 grade","의료최고도 count 3-6, 의사2·간호2등급",Procedure,0.225103453,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.286467969,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.225103453,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
4,A1103,"Medical care profound count 3-6, doctor 2· nursing 3 grade","의료최고도 count 3-6, 의사2·간호3등급",Procedure,0.223035499,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.282876283,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.223035499,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
5,A1104,"Medical care profound count 3-6, doctor 2· nursing 4 grade","의료최고도 count 3-6, 의사2·간호4등급",Procedure,0.221983314,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.28107813,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.221983314,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
6,A1106,"Medical care profound count 3-6, doctor 2· nursing 6 grade","의료최고도 count 3-6, 의사2·간호6등급",Procedure,0.22181882,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.280750126,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.22181882,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
7,A1107,"Medical care profound count 3-6, doctor 2· nursing 7 grade","의료최고도 count 3-6, 의사2·간호7등급",Procedure,0.219694331,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.277008206,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.219694331,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
8,A1108,"Medical care profound count 3-6, doctor 2· nursing 8 grade","의료최고도 count 3-6, 의사2·간호8등급",Procedure,0.220977992,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.279363751,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.220977992,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
9,A1110,"Medical care profound count 3-6, doctor 1 (number of specialist less than 50%)· nursing 5 grade","의료최고도 count 3-6, 의사1(전문의수50%미만)·간호5등급",Procedure,0.222904593,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.296448529,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.222904593,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
10,A1111,"Medical care profound count 3-6, doctor 1 (number of specialist less than 50%)· nursing 1 grade","의료최고도 count 3-6, 의사1(전문의수50%미만)·간호1등급",Procedure,0.224206641,4154551,Activities of daily living management,SNOMED,Procedure,S,1,1,Procedure,370885003,19700101,20991231,0.298523307,4126495,Activities of daily living assessment,SNOMED,Procedure,S,11,2,Procedure,304492001,19700101,20991231,0.224206641,4154551,Activities of daily living management,SNOMED,Procedure,S,Procedure,370885003,19700101,20991231
