source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
A1100,42364257,Korean EDI,"Medical care profound count 3-6, doctor 2· nursing 5 grade; 의료최고도 count 3-6, 의사2·간호5등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1101,42359951,Korean EDI,"Medical care profound count 3-6, doctor 2· nursing 1 grade; 의료최고도 count 3-6, 의사2·간호1등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1102,42364958,Korean EDI,"Medical care profound count 3-6, doctor 2· nursing 2 grade; 의료최고도 count 3-6, 의사2·간호2등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1103,42361021,Korean EDI,"Medical care profound count 3-6, doctor 2· nursing 3 grade; 의료최고도 count 3-6, 의사2·간호3등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1104,42364247,Korean EDI,"Medical care profound count 3-6, doctor 2· nursing 4 grade; 의료최고도 count 3-6, 의사2·간호4등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1106,42364499,Korean EDI,"Medical care profound count 3-6, doctor 2· nursing 6 grade; 의료최고도 count 3-6, 의사2·간호6등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1107,42363910,Korean EDI,"Medical care profound count 3-6, doctor 2· nursing 7 grade; 의료최고도 count 3-6, 의사2·간호7등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1108,42361059,Korean EDI,"Medical care profound count 3-6, doctor 2· nursing 8 grade; 의료최고도 count 3-6, 의사2·간호8등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1110,42360923,Korean EDI,"Medical care profound count 3-6, doctor 1 (number of specialist less than 50%)· nursing 5 grade; 의료최고도 count 3-6, 의사1(전문의수50%미만)·간호5등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1111,42360905,Korean EDI,"Medical care profound count 3-6, doctor 1 (number of specialist less than 50%)· nursing 1 grade; 의료최고도 count 3-6, 의사1(전문의수50%미만)·간호1등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
A1112,42365456,Korean EDI,"Medical care profound count 3-6, doctor 1 (number of specialist less than 50%)· nursing 2 grade; 의료최고도 count 3-6, 의사1(전문의수50%미만)·간호2등급",4154551,SNOMED,1970-01-01,2099-12-31,NA
